text,labels
This is thrilling 🤩,excited
I don't get it 😕,confusion
So excited to see you 🤩,excited
This tech is amazing 🤓,cool
Just playing around 😝,playful
Can’t believe this 🙄,annoyance
In a playful mood 😛,playful
That seems fishy 🥸,suspicious
I’m lost 😕,confusion
I’m lost ☹,confusion
I love you 🫶🏻,love
I'm terrified 😨,fear
Just want to cry 😿,sadness
Just playing around 🤪,playful
I doubt that 🤔,suspicious
Being a bit silly 😼,playful
I’m meditating now 😇,peaceful
You made my day 😄,happy
This is hilarious 🤣,joy
Being a bit silly 🤪,playful
Feeling relaxed 😇,peaceful
I’m lost 🙁,confusion
Feeling so good today 😆,happy
Makes me sick 😵‍💫,disgust
This makes me mad 😠,anger
"Wow, I’m shocked 😲",surprise
So tasty! 🤤,yummy
Can't wait for the weekend 🥳,excited
That’s not what I expected 😒,disappointed
Feeling really down 😿,sadness
Feeling so loved 😗,love
I adore you 💕,love
Feeling so loved 😘,love
I could eat this forever 🤤,yummy
Prepping all night 😟,nervous
I love you 💕,love
What a lovely day 😄,happy
Feeling accomplished 😏,pride
You made my day 😄,happy
Happiness is real 😄,happy
That scared me! 😧,fear
Hmm. 😐,neutral
Feeling so good today 😀,happy
What a lovely day 😀,happy
Freaked out right now 😰,fear
I love you 😗,love
This means the world to me 😚,love
Sounds sketchy 🤨,suspicious
That’s so cool 🥶,cool
In a playful mood 😝,playful
Disappointed by the results 😔,disappointed
This makes me mad 😠,anger
I'm terrified 😨,fear
Thank you so much 💐,gratitude
This tech is amazing 🥶,cool
Let’s joke around 🤪,playful
Goofing off with friends 😉,playful
Feeling so good today ☺,happy
I’m lost 😓,confusion
This makes me mad 😤,anger
I’m lost 😓,confusion
Prepping all night 😟,nervous
Feeling relaxed 😇,peaceful
That seems fishy 🧐,suspicious
Sounds sketchy 🤨,suspicious
Why did they do that? 😾,anger
That blew my mind 😳,surprise
What does that mean? 😕,confusion
I just got a promotion 🙂,happy
Everything feels so calm 😇,peaceful
Happiness is real 😁,happy
I’m proud of myself 😏,pride
I’m lost 🥺,confusion
What a lovely day 😸,happy
This means the world to me 😽,love
Feeling let down 😒,disappointed
Feeling so loved 😍,love
Why did they do that? 😠,anger
I fear the worst 😱,fear
Feeling relaxed 😌,peaceful
It didn’t go well 😔,disappointed
Goofing off with friends 😛,playful
This makes me mad 😡,anger
Yuck! 🤮,disgust
Such a scary movie 🙀,fear
In a playful mood 😝,playful
Feeling really down 😿,sadness
Such a scary movie 😰,fear
So heartbroken 😢,sadness
Feeling so good today 😄,happy
What a funny joke 😹,joy
Really? Are you sure? 🤔,suspicious
You’re my everything 😚,love
Craving this meal again 😋,yummy
I can't stop laughing 😹,joy
This tech is amazing 😶‍🌫️,cool
Cool vibes only 😶‍🌫️,cool
That concert was awesome 🥳,excited
Makes me sick 🤮,disgust
I fear the worst 😧,fear
