text,labels
This means the world to me 😙,love
This is hilarious 😂,joy
That’s so cool 😶‍🌫️,cool
I doubt that 🤨,suspicious
What does that mean? 🙁,confusion
This means the world to me 😍,love
Let’s joke around 😼,playful
I don't get it 😥,confusion
You're awesome 😶‍🌫️,cool
This means the world to me 😚,love
This food is delicious 🤤,yummy
You made my day 😸,happy
You made my day 😄,happy
Feeling so good today 😆,happy
Feeling so good today ☺,happy
"Hmm, I don’t believe it 🤨",suspicious
LOL this is great 😂,joy
Goofing off with friends 😛,playful
That’s so infuriating 🤬,anger
I love you 💕,love
Everything feels so calm 😇,peaceful
You made my day 😁,happy
In a playful mood 😜,playful
In a playful mood 😝,playful
Prepping all night 😟,nervous
Such a scary movie 😱,fear
Disappointed by the results 😔,disappointed
I love you 😗,love
I just got a promotion 🥲,happy
I adore you 😚,love
Really? Are you sure? 🤔,suspicious
What does that mean? 🙁,confusion
I love you 🥰,love
Huh? 😥,confusion
So heartbroken 😭,sadness
That’s irritating 🙄,annoyance
Just playing around 🤪,playful
This means the world to me 😘,love
I fear the worst 😨,fear
So confused right now 😕,confusion
Feeling so loved 😘,love
Feeling relaxed 😇,peaceful
I'm furious right now 😤,anger
I don't get it ☹,confusion
I wasn’t expecting that! 😲,surprise
I’m lost 😥,confusion
Yum! That was good 🤤,yummy
You’re my everything 😚,love
I adore you 😽,love
Feeling so good today 🥲,happy
You made my day 🙂,happy
You made my day 😺,happy
Thank you so much 💐,gratitude
I adore you 💓,love
This makes me mad 😡,anger
This is thrilling 🤩,excited
This makes me mad 😤,anger
I just got a promotion ☺,happy
Really? Are you sure? 🤨,suspicious
Feeling so loved 💓,love
I'm terrified 😱,fear
Feeling let down 😒,disappointed
Just playing around 😝,playful
I love you 🫶🏻,love
That scared me! 😰,fear
You made my day 🙂,happy
You’re my everything 💓,love
Feeling so loved 😍,love
That’s not what I expected 😞,disappointed
You’re my everything 🥰,love
Can't wait for the weekend 🥳,excited
I’m proud of myself 😎,pride
I'm anxious about tomorrow 😟,nervous
